claim_id,field_name,field_value,unit,time_reference,verdict,reason
660c51a8-16bb-49b2-a509-0c73bb3635cb,쉬었음 인구 비율,0.0,%,2024년,판단불가,처리 중 오류: 'result'
cd4bf0fd-26f3-437e-b3b0-9375a562e23a,연평균기온,14.8,도,작년,판단불가,처리 중 오류: 'result'
9d7910f6-d6a5-440c-86ce-bc40991788d6,연평균 기온,14.0,도,2024년,판단불가,처리 중 오류: 'result'
516b9cbf-8239-4218-a0b5-57d106f49a5d,평균기온,14.8,도,작년,판단불가,처리 중 오류: 'result'
d17dde7a-3740-4638-9e28-eab097bf993c,기상관측망 확충 정도,0.0,,1973년,판단불가,처리 중 오류: 'result'
6ca677aa-03a0-471c-b5b9-5bfdc952b2d6,평균기온,14.0,도,작년,판단불가,처리 중 오류: 'result'
97b7db5a-107c-4a86-9bb0-664d1dc7c479,연평균 기온,2.3,도,작년,판단불가,처리 중 오류: 'result'
f22311de-eaf5-4938-bffa-62078b359e10,일최저기온과 일최고기온 연평균 값,0.0,,지난해,판단불가,처리 중 오류: 'result'
efa501b0-3703-4e5b-93fa-97c8e7a7f7e0,평균 최저기온 및 평균 최고기온,10.2,도,작년,판단불가,처리 중 오류: 'result'
25ca07cb-9e3e-4fdf-8fb7-ae7145bb92c0,폭염 발생 일수,41.0,,지난 여름,판단불가,처리 중 오류: 'result'
0c64dda5-866a-407c-802b-3bcbb0ad90df,평년기온 대비 낮은 달 수,0.0,,,판단불가,처리 중 오류: 'result'
87f4d5dd-6f3f-4370-a1fa-acd59d0a597f,평균기온,,도,9월,판단불가,처리 중 오류: 'result'
a88cbb1b-47de-4771-b65c-6b5cef7917b2,평균기온,0.7,도,평년,판단불가,처리 중 오류: 'result'
d819f919-e837-4e78-9a13-532fa026b029,연평균 기온 순위,4.0,,상위 10위 중 1998년 및 1990년,판단불가,처리 중 오류: 'result'
5843413c-b5b0-4329-8e24-e5e35a4fe2f7,연평균 기온 순위,4.0,,2020년 ~ 2024년,판단불가,처리 중 오류: 'result'
7fe9f038-26f1-43cf-abcf-999fb0989242,평균 지구 표면 온도,0.85,도,작년 1∼11월,판단불가,처리 중 오류: 'result'
2c9fda3b-be52-48db-b415-687511498237,해당 기간의 온도 변화,0.18,도,재작년 같은 기간,판단불가,처리 중 오류: 'result'
0cf43720-780f-4848-bde6-1b415a561554,연평균기온,14.8,도,작년,판단불가,처리 중 오류: 'result'
143d763e-9020-45e3-ab43-f9a46d0918ad,연평균 기온,14.0,도,2024년,판단불가,처리 중 오류: 'result'
b053b1a7-25dc-4c92-adf8-1e1849523ce2,평균기온,14.8,도,작년,판단불가,처리 중 오류: 'result'
3eb0cbd3-f86c-4913-b992-b16abdc1891b,기상관측망 확충 정도,0.0,,1973년,판단불가,처리 중 오류: 'result'
e14d27a8-c9c0-414c-a3d6-9111ad4e4b40,평균기온,14.0,도,작년,판단불가,처리 중 오류: 'result'
9fcd0d0b-cee1-4c63-b0e7-e2a15193c463,연평균 기온,2.3,도,작년,판단불가,처리 중 오류: 'result'
feacf7b5-96ed-4752-b98b-d175bebf8366,일최저기온과 일최고기온 연평균 값,0.0,,지난해,판단불가,처리 중 오류: 'result'
f31956cb-6006-42f0-88a0-6b365a3cb19b,평균 최저기온 및 평균 최고기온,10.2,도,작년,판단불가,처리 중 오류: 'result'
2068a14b-c0a8-4cf3-8b24-027d41425a49,폭염 발생 일수,41.0,,지난 여름,판단불가,처리 중 오류: 'result'
b272529f-9ac9-41d6-82c3-f33e3648ac4b,평년기온 대비 낮은 달 수,0.0,,특정 시점 없음,판단불가,처리 중 오류: 'result'
7854853b-a901-4fb6-b927-cb8859173900,평균기온,,도,9월,판단불가,처리 중 오류: 'result'
37eba9b8-63d3-4639-badc-0ce15a304ec2,평균기온,0.7,도,평년,판단불가,처리 중 오류: 'result'
b7adb92c-1477-4108-a9c9-260a9e69c330,연평균 기온 순위,4.0,,상위 10위 중 1998년 및 1990년,판단불가,처리 중 오류: 'result'
42caa638-7835-457e-b27c-3dee5943ece7,연평균 기온 순위,1.0,,2024년,판단불가,처리 중 오류: 'result'
d45fc820-6833-4132-92d9-1f5af549ac82,평균 지구 표면 온도,0.85,도,작년 1∼11월,판단불가,처리 중 오류: 'result'
3539da6a-f23f-45de-a376-906f0f3b4dad,해당 기간의 온도 변화,0.18,도,재작년 같은 기간,판단불가,처리 중 오류: 'result'
071b5c97-bbe1-475a-bb1f-eb776aa2408e,지구 평균 기온 상승 폭,1.5,섭씨 온도(°C),작년,판단불가,처리 중 오류: 'result'
