claim_id,field_name,field_value,unit,time_reference,verdict,reason,matched_table,matched_table_id
6ca677aa-03a0-471c-b5b9-5bfdc952b2d6,평균기온,14.0,도,작년,일치,KOSIS 14도 vs 뉴스 14도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
d17dde7a-3740-4638-9e28-eab097bf993c,기상관측망 확충 정도,0.0,,1973년,판단불가,해당 연도 데이터 없음,하수도 보급률,DT_110001_A053
97b7db5a-107c-4a86-9bb0-664d1dc7c479,연평균 기온,2.3,도,작년,일치,KOSIS 2도 vs 뉴스 2도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
f22311de-eaf5-4938-bffa-62078b359e10,일최저기온과 일최고기온 연평균 값,0.0,,지난해,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
25ca07cb-9e3e-4fdf-8fb7-ae7145bb92c0,폭염 발생 일수,41.0,,지난 여름,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
efa501b0-3703-4e5b-93fa-97c8e7a7f7e0,평균 최저기온 및 평균 최고기온,10.2,도,작년,일치,KOSIS 10도 vs 뉴스 10도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
0c64dda5-866a-407c-802b-3bcbb0ad90df,평년기온 대비 낮은 달 수,0.0,,,판단불가,"처리 중 오류: expected string or bytes-like object, got 'NoneType'",,
87f4d5dd-6f3f-4370-a1fa-acd59d0a597f,평균기온,,도,9월,판단불가,"처리 중 오류: float() argument must be a string or a real number, not 'NoneType'",,
a88cbb1b-47de-4771-b65c-6b5cef7917b2,평균기온,0.7,도,평년,일치,KOSIS 1도 vs 뉴스 1도 (오차 0.0%),기상(1979~1997),TX_11001_A424
d819f919-e837-4e78-9a13-532fa026b029,연평균 기온 순위,4.0,,상위 10위 중 1998년 및 1990년,판단불가,해당 연도 데이터 없음,기후변화 피해 분야(종합순위),DT_20806_14_116
5843413c-b5b0-4329-8e24-e5e35a4fe2f7,연평균 기온 순위,4.0,,2020년 ~ 2024년,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
7fe9f038-26f1-43cf-abcf-999fb0989242,평균 지구 표면 온도,0.85,도,작년 1∼11월,일치,KOSIS 1도 vs 뉴스 1도 (오차 0.0%),지표면을 환경적 특성에 따라 분류한 토지피복지도 통계,DT_106N_36_1100001
2c9fda3b-be52-48db-b415-687511498237,해당 기간의 온도 변화,0.18,도,재작년 같은 기간,일치,KOSIS 0도 vs 뉴스 0도 (오차 8.0%),기상개황(2001~2007),TX_11001_A017
0cf43720-780f-4848-bde6-1b415a561554,연평균기온,14.8,도,작년,일치,KOSIS 15도 vs 뉴스 15도 (오차 0.0%),기상개황(2001~2007),TX_11001_A017
143d763e-9020-45e3-ab43-f9a46d0918ad,연평균 기온,14.0,도,2024년,일치,KOSIS 14도 vs 뉴스 14도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
b053b1a7-25dc-4c92-adf8-1e1849523ce2,평균기온,14.8,도,작년,일치,KOSIS 15도 vs 뉴스 15도 (오차 0.0%),기상개황(2008),DT_A11001_2009_0203
e14d27a8-c9c0-414c-a3d6-9111ad4e4b40,평균기온,14.0,도,작년,일치,KOSIS 14도 vs 뉴스 14도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
9fcd0d0b-cee1-4c63-b0e7-e2a15193c463,연평균 기온,2.3,도,작년,일치,KOSIS 2도 vs 뉴스 2도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
3eb0cbd3-f86c-4913-b992-b16abdc1891b,기상관측망 확충 정도,0.0,,1973년,판단불가,해당 연도 데이터 없음,하수도 보급률,DT_110001_A053
feacf7b5-96ed-4752-b98b-d175bebf8366,일최저기온과 일최고기온 연평균 값,0.0,,지난해,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
f31956cb-6006-42f0-88a0-6b365a3cb19b,평균 최저기온 및 평균 최고기온,10.2,도,작년,일치,KOSIS 10도 vs 뉴스 10도 (오차 0.0%),[고층기상] 레윈존데 관측값의 지점별 연·월 통계,DT_14106
2068a14b-c0a8-4cf3-8b24-027d41425a49,폭염 발생 일수,41.0,,지난 여름,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
b272529f-9ac9-41d6-82c3-f33e3648ac4b,평년기온 대비 낮은 달 수,0.0,,특정 시점 없음,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
7854853b-a901-4fb6-b927-cb8859173900,평균기온,,도,9월,판단불가,"처리 중 오류: float() argument must be a string or a real number, not 'NoneType'",,
37eba9b8-63d3-4639-badc-0ce15a304ec2,평균기온,0.7,도,평년,일치,KOSIS 1도 vs 뉴스 1도 (오차 0.0%),기상(1979~1997),TX_11001_A424
42caa638-7835-457e-b27c-3dee5943ece7,연평균 기온 순위,1.0,,2024년,판단불가,처리 중 오류: 'NoneType' object has no attribute 'lower',,
b7adb92c-1477-4108-a9c9-260a9e69c330,연평균 기온 순위,4.0,,상위 10위 중 1998년 및 1990년,판단불가,해당 연도 데이터 없음,기후변화 피해 분야(종합순위),DT_20806_14_116
d45fc820-6833-4132-92d9-1f5af549ac82,평균 지구 표면 온도,0.85,도,작년 1∼11월,일치,KOSIS 1도 vs 뉴스 1도 (오차 0.0%),지표면을 환경적 특성에 따라 분류한 토지피복지도 통계,DT_106N_36_1100001
3539da6a-f23f-45de-a376-906f0f3b4dad,해당 기간의 온도 변화,0.18,도,재작년 같은 기간,일치,KOSIS 0도 vs 뉴스 0도 (오차 8.0%),기상개황(2001~2007),TX_11001_A017
071b5c97-bbe1-475a-bb1f-eb776aa2408e,지구 평균 기온 상승 폭,1.5,섭씨 온도(°C),작년,일치,KOSIS 2섭씨 온도(°C) vs 뉴스 2섭씨 온도(°C) (오차 0.0%),환경 체감도 - 대기,DT_665002_2022F002
